,account,post,follower,follow,open_account,official_account,image_love,image_comment,video_love,video_comment,igtv_love,igtv_comment,ER,active_rate
123,https://www.instagram.com/iammaeng/,1184,237548,478,1,0,12136,54,49400,21,0,0,5.131594457,0.444920491
124,https://instagram.com/aprilskin_korea,840,130966,0,1,1,728,9,1787,2,0,0,0.562741475,1.234567901
125,https://instagram.com/go_bambi,3368,168540,284,1,0,1005,58,32300,49,0,0,0.63071081,5.765407555
126,https://instagram.com/memebox_pick,2486,193005,7,1,1,273,7,894,0,0,0,0.145073962,2.554744526
127,https://instagram.com/heejaeholic,8182,169786,983,1,0,1271,28,38300,43,0,0,0.765080749,2.201257862
128,https://instagram.com/moonshot_korea,1088,225823,5,1,1,26810,231,28280,32,0,0,11.97442245,0.861586662
129,https://instagram.com/128page,1012,230651,368,1,0,2501,17,11600,12,0,0,1.091692644,0.679456435
130,https://instagram.com/minsung8809,874,277177,904,1,0,8948,46,15900,83,0,0,3.244857979,0.514023913
131,https://instagram.com/daese1230,565,78431,141,1,0,3238,45,0,0,0,0,4.185844883,1.389317691
132,https://instagram.com/joontopia_,209,80232,76,1,0,2320,26,0,0,0,0,2.924020341,1.120206807
133,https://instagram.com/vecnexz,167,318534,223,1,0,3907,29,7323,4,0,0,1.235660871,0.742067554
134,https://instagram.com/real__siri,2242,69998,811,1,0,329,10,0,0,3622,3,0.484299551,3.03030303
135,https://instagram.com/kwaktori,3218,147183,449,1,1,2039,26,0,0,0,0,1.403015294,1.274509804
136,https://instagram.com/yoou.ch,2078,390105,571,1,0,10735,33,9722,9,0,0,2.760282488,0.307377049
137,https://instagram.com/heididrinkslove,3127,155397,287,1,1,2064,655,64640,1038,0,0,1.749712028,31.71912833
138,https://instagram.com/besthairstylesmen,953,185332,3795,1,0,6496,97,62866,38,0,0,3.557399694,1.492996768
139,https://instagram.com/naturerepublic_kr,1588,614252,0,1,1,14087,306,13317,17,0,0,2.343175114,2.172061329
