account,image_love,image_comment,video_love,video_comment,igtv_love,igtv_comment
https://instagram.com/nara_crush,2574,24,11318,22,0,0
https://instagram.com/hwangbarbie,748,27,9189,18,1789,6
https://instagram.com/jooyeonking,237,2,2314,1,0,0
https://instagram.com/_eun.me,933,402,15200,9,0,0
https://instagram.com/i.am.mell,1523,32,13900,69,0,0
https://instagram.com/kkangsara,150,5,0,0,0,0
https://instagram.com/pila_nyong,3013,113,147000,171,43800,115
https://instagram.com/chaae.rin,616,24,0,0,0,0
https://instagram.com/baeg_,503,7,0,0,0,0
https://instagram.com/miuforyou,3169,14,20431,12,0,0
https://instagram.com/luv_mintminty,5276,60,181333,76,0,0
https://instagram.com/diana_park0116,422,21,8030,19,0,0
https://instagram.com/wsj007,0,0,40513,76,0,0
https://instagram.com/choonran,1024,19,25467,15,0,0
https://instagram.com/__ssong2__,888,41,6472,12,6991,34
https://instagram.com/by_malla,1026,8,0,0,0,0
https://instagram.com/shinae.lee,641,13,0,0,0,0
https://instagram.com/bbangmi.a,420,41,3209,17,0,0
https://instagram.com/eaum0801,1036,48,0,0,0,0
https://instagram.com/m_chae0_,0,0,0,0,0,0
https://instagram.com/gnal_nail,871,10,5749,13,0,0
https://instagram.com/k_ming97,3109,46,0,0,0,0
https://instagram.com/cherie_flavor,750,9,0,0,0,0
https://instagram.com/zin_uk,1134,35,640,29,0,0
https://instagram.com/heurim.03.08,1391,14,0,0,0,0
https://instagram.com/milladiary,482,13,0,0,8176,0
https://instagram.com/model.yca,313,6,0,0,0,0
https://instagram.com/__luv_j,752,40,0,0,0,0
https://instagram.com/he.le.n._,1625,27,4320,12,0,0
https://instagram.com/154kg,1036,26,15450,20,18100,39
https://instagram.com/from_dami,931,64,4826,58,0,0
https://instagram.com/ellie_jye,1063,45,0,0,0,0
https://instagram.com/lejour_official,195,12,2550,37,0,0
https://instagram.com/chxxilee,0,0,0,0,0,0
https://instagram.com/dawoonyyy,2453,33,13489,5,13100,12
https://instagram.com/ye_____vely,805,9,0,0,0,0
https://instagram.com/jeon.han_na,725,22,0,0,0,0
https://instagram.com/shuniibeauty,3039,16,0,0,0,0
